Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
BadmintonBrain,1.527,55.985,43.422,12810,0.021
BadmintonBrain,1.088,109.325,42.261,12805,0.024
BadmintonBrain,1.110,162.709,42.324,12873,0.024
BadmintonBrain,1.095,216.028,42.267,12816,0.025
