Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
BadmintonBrain,4.239,82.831,69.751,26002,-0.573
BadmintonBrain,3.613,162.925,68.868,26000,-0.577
BadmintonBrain,3.596,242.741,68.645,26000,-0.577
BadmintonBrain,3.615,323.201,69.016,26000,-0.569
BadmintonBrain,3.597,405.514,71.112,26000,-0.556
BadmintonBrain,3.624,487.127,70.470,26000,-0.536
BadmintonBrain,3.589,568.439,70.238,26000,-0.512
BadmintonBrain,3.537,648.943,69.546,25802,-0.487
BadmintonBrain,3.620,729.964,69.773,26000,-0.462
BadmintonBrain,3.626,811.088,69.902,26000,-0.438
BadmintonBrain,3.603,892.275,70.006,26000,-0.414
BadmintonBrain,3.602,973.523,69.887,26000,-0.391
BadmintonBrain,3.589,1054.937,70.296,26000,-0.370
BadmintonBrain,3.595,1136.914,70.857,26000,-0.351
BadmintonBrain,3.598,1218.318,70.345,26000,-0.333
BadmintonBrain,3.578,1351.919,122.503,25802,-0.317
BadmintonBrain,3.595,1434.490,71.250,26000,-0.301
BadmintonBrain,3.597,1517.101,71.302,26000,-0.288
BadmintonBrain,3.623,1598.236,69.927,26000,-0.275
BadmintonBrain,3.591,1680.460,70.806,26000,-0.262
BadmintonBrain,3.622,1762.244,70.602,26000,-0.251
BadmintonBrain,3.608,1844.141,70.758,26000,-0.240
BadmintonBrain,3.598,1925.177,70.001,26000,-0.231
BadmintonBrain,3.577,2005.716,69.465,25802,-0.221
BadmintonBrain,3.607,2087.490,70.521,26000,-0.213
BadmintonBrain,3.598,2168.915,70.218,26000,-0.206
BadmintonBrain,3.602,2452.462,271.983,26000,-0.198
BadmintonBrain,3.609,2535.882,72.130,26000,-0.191
BadmintonBrain,3.620,2618.299,71.215,26000,-0.185
BadmintonBrain,3.583,2700.159,70.736,26000,-0.178
BadmintonBrain,3.571,2782.675,71.478,25802,-0.172
BadmintonBrain,3.606,2864.381,70.405,26000,-0.166
BadmintonBrain,3.606,2945.485,69.875,26000,-0.161
BadmintonBrain,3.594,3026.551,69.897,26000,-0.155
BadmintonBrain,3.609,3107.936,69.992,26000,-0.151
BadmintonBrain,3.634,3190.109,70.958,26000,-0.146
BadmintonBrain,3.598,3271.492,70.269,26000,-0.142
BadmintonBrain,3.599,3358.665,76.032,26000,-0.137
